post,author,date of post,language,reply-to
????? guild gia SERVER ONYXIA ?,anna3,4 Days Ago,Greeklish,461776
Ψαχνω Έλληνες για παρέα ή casual Guild - LORDAERON x1 / Horde,pipernan,"May 19, 2022",Greek,447248
??????? ???????; (Icecrown),Slyrack,4 Weeks Ago,Greeklish,461042
Psaxnw ellhniko guild ston Icecrown,Orchex,"February 20, 2023",Greeklish,454893
Icecrown Impromptu ICC raids and community!,Onebuttonman,"March 11, 2023",Greeklish,455421
Anazitisi Ellhnikoy Guild,Legeonarios,"November 28, 2022",Greeklish,452837
8a ginei ellhniko guild Frostmourne?,SilentHll,"April 15, 2022",Greeklish,445626
Ordo Hellenicus Raiding Guild,Zogra,"September 2, 2022",Greeklish,450632
Ψαχνω για Alliance Ελληνικο guild στο Icecrown realm,MikrosHrws,"September 18, 2022",Greek,450999
Frostmourne S3 Elliniko guild h pareaki?,Apaleytos,"June 4, 2022",Greeklish,447848
Psaxnw atoma na pexoume parea :),Vasilismagos,"October 20, 2021",Greeklish,440585
Guild ellhniko,Antonmmeister,"May 30, 2022",Greeklish,447657
Recruit Member Elliniko guild,crystallenia898,"July 17, 2020",Greeklish,423611
psaxno elliniko guild lordaeron/horde,MarcosDeMarc,"November 27, 2021",Greeklish,441511
[Horde] <Iceclowns Citadel> - Icecrown Realm,Bornskilled,"December 22, 2021",Greeklish,442203
psaxno filous,tzitzifrikos123,"October 27, 2021",Greeklish,440722
Ellhniko End Game Guild ston Icecrown/Horde-Recruitment.,malakas17,"October 6, 2020",Greeklish,427259
Wotlk Lordaeron Guild,krepas,"July 10, 2021",Greeklish,437896
Ψαχνω ελληνες για bg!,Year,"March 24, 2020",Greek,415161
Icecrown Server/ WoW guild **Auto-Attack** is recruiting Greek officers,Xxlarge,"December 21, 2018",Greeklish,395942
Greek guild se icecrown/all ?,mito221b,"April 25, 2021",Greeklish,435310
Psaxnw gia guild,MeLviZ,"February 20, 2021",Greeklish,432839
Addon Hunter,MeLviZ,"February 20, 2021",Greeklish,432838
kanena guild ston blackrock?,Dionell,"January 20, 2021",Greeklish,431660
Psaxno atoma gia Arena na exoun ligo gear kai exp,malakassc,"February 3, 2021",Greeklish,432233
2.2 dk + 2.6 war,kolakid,"November 2, 2020",Greeklish,428332
Ερώτηση για Ελληνικό Guild Lordaeron Horde side,pskl,"November 8, 2020",Greek,428616
Sos,gouz44,"November 6, 2020",Greeklish,428559
Psaxnw Guild,Saxlamaras,"June 12, 2020",Greeklish,421765
Psaxnw guild.,synoz,"April 15, 2020",Greeklish,417128
Καληπσπέρα σε όλους,ulteki,"March 10, 2020",Greek,414333
Lordaeron-Alliance guild: <Lordaeron Vanguard>,Cellular,"January 1, 2020",Greeklish,411881
ICECROWN-HORDE Ελληνικό Guild <Power Hall>,gotharasss,"December 18, 2019",Greek,411367
Psaxno ellines na liosoume sto PvP,malakassc,"October 27, 2019",Greeklish,409706
Προβλημα εγκαταστασης παιχνιδιου,Azzazelf,"August 27, 2019",Greek,407587
Elliniko Guild,Amendith21,"July 8, 2018",Greeklish,387121
Guild,Nikos3,"December 5, 2018",Greeklish,395212
Psaxnw guild ston Icecrown,loukastoumpa4,"July 13, 2019",Greeklish,406075
Alliance Elliniko Guilld <<Greek Addicts>> PvE & PvP,Dimitris98dimi,"May 25, 2019",Greeklish,403786
Greek Addicts,Paraskosp,"May 18, 2019",Greeklish,403435
horde guild icecrown,Shilenai,"April 8, 2019",Greeklish,401640
blackrock κανεις?,burgers13,"March 28, 2019",Greek,401117
Icecrown,Dragien,"May 20, 2016",Greeklish,330628
Ψαχνω guild Ελληνικο.,Feniol,"March 9, 2019",Greek,400172
ελληνικό guild ψάχνει κόσμο,trelowarrior,"February 25, 2019",Greek,399453
καλημερα,aceofjokergr,"March 4, 2019",Greek,399863
Alliance,xAchillesGate4x,"March 3, 2019",Greeklish,399822
WOTLK icecrown - alliance - Guild GW ελληνικο guild,NnastyNas,"February 17, 2019",Greeklish,398966
Fall of Icarus,tsempe,"January 13, 2019",Greeklish,397082
Δημιουργία Ελληνόφωνης Guild στον Icecrown (Alliance),Cryosin,"February 20, 2017",Greek,348849
geia sas,aceofjokergr,"August 14, 2018",Greeklish,389270
πρόβλημα εγκατάστασης,annastas,"February 18, 2018",Greek,378876
[A] <Olympians> Recruiting - Ελληνικό Guild,Draculation,"March 20, 2017",Greeklish,350071
Icecrone alliance erwthsh,assos,"September 17, 2018",Greeklish,391091
Ελληνικο guild horde TBC ?,MadaoWoW,"June 30, 2018",Greek,386601
Sympatriwtes/tises,SevyPunk,"August 20, 2018",Greeklish,389647
[A] Guild?,Year,"July 16, 2018",Greeklish,387596
psaxno atoma na kano lvl up sto wotlk,boombotboy,"February 10, 2018",Greeklish,378269
donate,radienergos1,"October 8, 2017",Greeklish,367976
[A] Psaxnw gia 2s partner kai ellhniko guild,Ripsin,"May 22, 2018",Greeklish,384475
Last Resort Greek Guild (Warmane Wrath of the Lich King 3.3.5.v),wertakos,"May 21, 2018",Greeklish,384418
Greek Courage 9 LvL,SpiritNative,"April 2, 2015",Greeklish,292108
Outland Greek Guild ?,KOST91,"October 17, 2017",Greeklish,368590
Fws ths aughs,F3ars0m3,"May 14, 2017",Greeklish,353021
Ελληνική Guild Me Smash you DIE κάνει recruit,UncleReaper,"January 9, 2018",Greek,374776
Pws mporw na valw ton xaraktira mou apo sale.,assos,"January 7, 2018",Greeklish,374642
[A] <Northern Defiance> -Icecrown Ελληνικό Guild,Neonzr,"February 11, 2017",Greeklish,348422
<A> psaxnw elliniki guild,Csdas,"November 29, 2017",Greeklish,371804
Eu guild Ravens ( Mediv ),stam252525,"September 10, 2017",Greeklish,366077
Clan,Akade,"May 22, 2017",Greeklish,353812
Donete,zervos,"November 9, 2017",Greeklish,370408
Icecrown - Psaxnw gia ellhniko pve/pvp guild!,Ripsin,"November 7, 2017",Greeklish,370241
Icecrown (A),arisvis1,"October 24, 2017",Greeklish,369098
PvE / PvP ???,AxXeLiT,"September 8, 2017",Greeklish,365992
δεν μπορω να κανω log In help!!!!!,HolySpeed,"September 5, 2017",Greek,365786
eimai neos sto game,mikexeno,"August 21, 2017",Greeklish,364708
<A> Psaxnw ellines ston Icecrown.,Bowcurve,"August 5, 2017",Greeklish,363363
Help!!@!@#,TehThanosAS,"August 1, 2017",Greeklish,362980
Horde Guild  outland,KOST91,"June 19, 2017",Greeklish,358325
Ellhniko guild ston medivh?,ReportMyTeam,"June 17, 2017",Greeklish,358049
psaxno gia ALLIANCE GUILD ston OUTLAND,Arouraios,"June 11, 2017",Greeklish,357180
Ellhniko guild  ston icecrown- guilty as sin,F3ars0m3,"March 9, 2017",Greeklish,349562
ellhniko guild sto lordaeron,Koploper,"June 2, 2017",Greeklish,355663
Uparxei ellhnikh guild ston Medivh?,Swoosh887GR,"June 1, 2017",Greeklish,355571
[Lordaeron - Alliance] Olympians,Mippzy,"October 23, 2016",Greeklish,342797
Hellenic horde! ΨaΧΝΟΥΜΕ ΕΝΕΡΓΟΥΣ players!icecrown horde pve!,celphecil,"July 25, 2016",Greeklish,337575
Ελληνικά Channel,Cryosin,"February 13, 2017",Greek,348519
Frostwolf Greek Guild Ally Greek Heroes,billydragon,"November 2, 2016",Greeklish,343359
Ψαχνω μια ελληνικη Guild στο icecrown.,RussianStalker,"December 5, 2016",Greek,344977
Psaxnw elliniki guild ston icecrown,Coffeeshop,"July 8, 2016",Greeklish,336270
Hellenic Horde,Blackwolf999,"September 18, 2016",Greeklish,340923
Ψαχνω Ελληνικη Guild στο WOTLK,CeadeuZ,"September 9, 2016",Greek,340465
Ελληνική Guild στον Icecrown,Athanasiadis,"June 10, 2016",Greek,333301
Psaxnw palious Paixtes apo Frostwolf (cata),Sarmize,"August 23, 2016",Greeklish,339436
Σοβαρή ερώτηση για όσους μένουν στίν Ελλάδα!,Elipas,"July 14, 2016",Greek,336853
Mop ally,KOST91,"March 23, 2016",Greeklish,324370
"Elliniko guild ston Lordareon ""Denropotamos Inc""",jagg3r,"February 27, 2016",Greeklish,322809
Κανένα Horde Greek guild Lordaeron ;,Masonos,"June 21, 2016",Greeklish,334658
Icecrown Alliance Guild?,ParmenDee,"May 28, 2016",Greeklish,331744
Hellenic Horde.Μια νέα σοβαρή PVE Guild.,celphecil,"April 24, 2016",Greeklish,328018
download,george123,"June 2, 2016",Greeklish,332403
Deathwind Horde,KOST91,"May 3, 2016",Greeklish,329015
"Διευκρίνηση σχετικά με το guild ""Anonymous"" στον Lordaeron",jmanavis20,"February 28, 2016",Greek,322870
Eliniko Guild Pve/Pvp ston Lordareon << Anonymus>>,jagg3r,"January 11, 2016",Greeklish,317968
Ελληνικο guild Horde side Name: youhorde,joujou,"February 8, 2016",Greeklish,321185
Ελληνικό Guild Anonymous,mdsc,"December 9, 2015",Greek,314919
Atoma gia porosi,Gianstin12,"January 7, 2016",Greeklish,317610
Deathwing gold me trading,MotleyCrueWASP,"January 16, 2016",Greeklish,318422
Greek Guild (Lordaeron) <YouHorde>,hellsend123,"January 6, 2016",Greeklish,317485
Elliniko guild Lordaeron,thanasis2000,"November 25, 2015",Greeklish,313910
donate me paysafe,MotleyCrueWASP,"December 25, 2015",Greeklish,316209
Quit warmane,PowerDrums,"December 13, 2015",Greeklish,315211
Πληροφορίες για τα Realms,kingtheodoros,"November 24, 2015",Greek,313766
Lordaeron,PowerDrums,"November 19, 2015",Greeklish,313364
lordaeron,Mouras,"September 23, 2015",Greeklish,308481
Προβλημα με two-step authentication,toutoumis,"November 10, 2015",Greeklish,312626
Lordaeron..Greek,PowerDrums,"October 19, 2015",Greeklish,310885
Ψάχνουμε Μέλη Greek Victory,NoxOlor,"June 17, 2015",Greek,300086
Ελληνικό Guild,tikoitas,"November 3, 2015",Greek,312101
προβλημα,pl69,"August 27, 2015",Greek,306470
Ελληνική κοινότητα σε neltharion,kingtheodoros,"September 12, 2015",Greek,307771
Full house,trinityj13,"September 30, 2015",Greeklish,309251
Ftinos logariasmos,MotleyCrueWASP,"July 23, 2015",Greeklish,303390
Sky Crystal,PowerDrums,"July 16, 2015",Greeklish,302741
Προβλημα με τα emote sound Undead Troll και Tauren,d4rkmidian,"July 15, 2015",Greek,302625
greek marines (ragnaros alliance),trinityj13,"July 14, 2015",Greeklish,302559
Ελληνικα guild στον Ragnaros,boolouk,"May 22, 2015",Greek,297594
greek raiders (ragnaros horde),kapsokolis,"June 25, 2015",Greeklish,300776
Ψάχνω για Έλληνες παίχτες στον Sargeras,Ragepain32,"October 14, 2014",Greek,272585
"[A] Guild Recruitment, Full House (Greek Core) Ragnaros",Nelthazar,"February 26, 2015",Greeklish,287225
Ελληνικό Guild στους horde του Ragnaros,boolouk,"March 10, 2015",Greek,289030
Ellinhko guild ston Deathwing,v4gflo,"June 17, 2015",Greeklish,300013
Rares/addons,SpiritNative,"June 6, 2015",Greeklish,299060
Βοήθεια γι;α χαμένο account,warlock071,"June 1, 2015",Greek,298691
Rare mob του Cataclysm: Αeonaxx,SpiritNative,"May 13, 2015",Greeklish,296561
Greek Courage....,DarkSwan,"May 14, 2015",Greeklish,296734
Greek Victory,DarkSwan,"May 17, 2015",Greeklish,297102
realm transfer,Lordzed12,"May 15, 2015",Greeklish,296865
FrostWolf Greek Horde..,NoxOlor,"May 15, 2015",Greeklish,296783
voitheia gia lvl up ragnaros(realm),Ryusoken,"May 14, 2015",Greeklish,296709
ΓΝΩΡΙΖΕΙ ΚΑΝΕΙς...???,ifigenia,"May 1, 2015",Greek,295426
Επιλογή Server,tzabi7,"December 16, 2014",Greek,278731
ΒΟΗΘΕΙΑ ΕΠΕΙΓΟΝΤΩΣ,giannhslad111,"April 17, 2015",Greek,294152
Raids και Dungeons,SpiritNative,"April 2, 2015",Greeklish,292137
Πρόβλημα με log in,AlexPan,"March 24, 2015",Greek,290921
